x1,x2,target
-1.664407003,17.24541536,0
20.21123741,8.599145283,1
12.67521762,23.14837483,1
17.55283083,10.31169774,1
14.95994135,20.22584369,1
7.066052783,28.37478097,0
1.776780031,9.925906732,0
25.05174184,6.87149456,0
32.160397,13.64102537,0
20.76136804,13.77171307,1
8.83317563,12.06419732,1
15.07157968,6.030186473,1
11.10095741,19.18691312,1
8.58710258,2.535677372,0
16.50429349,29.59456338,0
11.07277442,21.75254503,1
9.588175347,10.86217754,1
12.4912344,29.88916121,0
2.298075007,4.911254553,0
-1.325004714,14.64155239,0
23.27247432,2.121452275,0
9.24922418,17.82952651,1
9.16019337,13.67727192,1
8.542240201,17.73866067,1
8.551513575,11.45177812,1
9.777195673,1.411211925,0
12.61203604,15.07214213,1
17.04846671,10.86787664,1
8.762069663,13.29194198,1
29.83723502,7.452295137,0
26.00869076,2.330120046,0
10.16321797,10.37753224,1
18.93592029,21.04060402,1
6.171991817,4.551160488,0
13.03276136,18.75835846,1
4.931010125,6.310416607,0
31.41609287,22.38901027,0
3.816737177,1.662135166,0
20.59794517,17.70158911,1
19.1496784,11.02097933,1
10.78336118,29.99487876,0
10.53730107,13.34864689,1
14.65870639,8.423695038,1
1.177091972,9.171784351,0
15.27130683,22.66674056,1
19.98500138,29.95657613,0
1.165511387,9.985588857,0
8.8251288,12.28915435,1
31.63347577,11.30126683,0
19.03295607,13.01191852,1
16.32410131,29.87023426,0
2.420490361,18.75565025,0
16.13776672,9.096852154,1
21.40521149,15.65830441,1
15.05256649,20.58777313,1
10.4759741,3.22856926,0
9.568617788,11.8895478,1
27.78296941,7.214897119,0
25.91334958,4.430842913,0
9.678370848,15.40028567,1
7.985947435,12.60980022,1
16.67879602,20.90474381,1
29.60890957,9.432316845,0
9.493920005,28.17466261,0
7.804170552,16.77018396,1
10.36373912,20.43000088,1
0.5247796511,11.25017583,0
19.92551233,14.40160277,1
17.95982841,18.84913268,1
8.389851318,28.05389019,0
24.46877675,26.91533883,0
7.777099701,24.76971932,0
15.86741727,21.14419421,1
18.02323249,2.871768249,0
29.82252253,23.30609479,0
14.56728285,30.07134639,0
22.27448089,9.993795449,1
14.94869859,10.09891153,1
20.64403049,1.554084226,0
9.945237377,18.71245163,1
24.68916618,25.7745803,0
9.374024619,27.54741334,0
18.10759244,18.21605775,1
14.43913704,9.929204272,1
14.64800294,31.82192419,0
11.20220221,19.67529151,1
12.2743959,17.96522097,1
31.50663432,10.80514689,0
25.74521842,6.785989113,0
-0.98464466,17.24168138,0
2.419052964,24.44368863,0
18.36170538,21.04548906,1
17.4804731,9.338363454,1
20.33454282,11.15326104,1
15.30648443,-0.2714923663,0
25.53708839,26.92912993,0
13.35500006,29.86983553,0
14.9604498,11.12622537,1
-0.4489042969,15.9191371,0
-0.7587091922,10.89433971,0
33.10655614,18.54452331,0
8.072456138,14.60778086,1
12.51694151,19.60468677,1
12.46763347,22.30584411,1
5.453851881,7.165951182,0
16.24606688,1.307306729,0
2.9220051,10.28047039,0
24.99529353,-0.04096438874,0
1.418138175,8.3128608,0
1.498133747,7.262452464,0
26.70291763,8.379974176,0
21.43473817,28.8668111,0
18.30989442,-0.5330816447,0
10.94430263,10.6265976,1
1.306388258,20.29526669,0
18.18141946,11.27665386,1
30.32549074,16.96212746,0
21.71332475,11.95777234,1
14.15036822,10.49226598,1
8.059892323,2.452172524,0
19.95114001,9.139429948,1
16.93928368,19.70117924,1
19.58815694,17.76583552,1
19.32802873,2.133701444,0
7.318105337,2.928912554,0
14.31416327,9.075072793,1
29.32859495,18.47842459,0
10.8630497,17.06942256,1
21.59403132,14.359015,1
22.22669556,12.92094546,1
21.05759805,17.01282249,1
12.43632912,23.18179815,1
21.11453987,16.48215121,1
19.10605433,27.46445885,0
11.01316058,3.08781527,0
12.80129684,18.27554813,1
20.93898323,30.78259611,0
3.596136394,26.42538833,0
17.9538959,15.38601415,1
12.33628208,9.519449866,1
-0.2137678655,14.49490944,0
22.54506774,17.79064208,1
20.75588271,-1.09935065,0
8.751191994,17.33422049,1
19.54738112,18.36044482,1
30.69847075,18.60608988,0
28.4033565,20.21950329,0
12.00316861,8.630005786,1
27.91887538,21.35910762,0
10.65785475,11.77132448,1
6.042405663,26.88059388,0
18.35109863,21.80927126,1
9.659138941,0.3765981822,0
28.62933839,7.184224598,0
10.78526652,10.21487528,1
23.86072627,1.963808594,0
27.70311269,22.79325346,0
16.51593707,21.60719563,1
1.40260116,20.75495819,0
2.982225733,20.77346334,0
21.27016575,17.97617468,1
6.839052389,0.519941965,0
18.63581404,9.601319093,1
15.57154834,7.789078423,1
10.72397871,29.11647435,0
4.0968177,24.07172739,0
20.1490661,13.5602121,1
19.97715567,14.58333897,1
13.10951791,23.71386585,1
19.67639984,18.30399481,1
10.37334105,16.78712694,1
28.58609484,11.27097555,0
27.50651774,21.242343,0
23.19949591,27.36561951,0
21.14176823,13.91702865,1
14.40907162,8.111360385,1
9.137793416,15.72478242,1
21.02200385,17.55600324,1
8.256368597,3.867376547,0
12.10631143,20.72621273,1
28.58968649,6.367763976,0
-1.130961608,16.57970106,0
27.25185273,27.40926751,0
11.98552068,21.34192269,1
13.37672543,9.86364201,1
31.76134112,15.77779775,0
16.1815668,32.69977007,0
28.99735581,18.68558032,0
18.12543945,30.07657435,0
18.53439357,17.22520858,1
6.093559311,26.6150311,0
24.66541027,2.940388086,0
13.98220365,-0.09883381672,0
10.73808883,17.90695677,1
10.84269199,14.29104098,1
14.64864069,18.26104331,1
15.61826698,10.39861926,1
18.28017052,9.001518798,1
13.41549687,6.349741406,1
5.70257732,25.34636076,0
